sözcük	sıklık	özel_ad_olası	model_hece	model_kural	sizin_vurgu	not	örnek_cümle
paket	22		pa-KET	varsayılan_son			açık ; fatura ve paket işlemleri için temsilcilerimiz
yani	34		ya-Nİ	varsayılan_son			gigabayt , dönem sonuna yani yirmi yedi Nisan
adresi	46		ad-re-Sİ	varsayılan_son			Teslimat adresi , Bahar Mahallesi
gibi	35		gi-Bİ	varsayılan_son			ze on iki iki gibi kodlarla yansır ;
bin	112		BİN	varsayılan_son			beş gigabayt internet , bin dakika ve beş
sizi	52		si-Zİ	varsayılan_son			destek işinin omurgası . Sizi yarın arayacağım dediysem
sonunda	48		so-nun-DA	varsayılan_son			tekrar bekleriz . Görüşmenin sonunda , aktaracağım bilgileri
size	78		si-ZE	varsayılan_son			bir profiliniz var . Size iki seçenek önerebilirim
erken	28		er-KEN	varsayılan_son			on iki ay ; erken çıkarsanız kalan ayların
konu	23		ko-NU	varsayılan_son			çözüldü diyebildik , kaç konu yarına kaldı .
sekiz	106		se-KİZ	varsayılan_son			yirmi beş gigabaytın on sekiz virgül dördünü kullandınız
geçerli	22		ge-çer-Lİ	varsayılan_son			elli dokuza kadar geçerli . Dakikalarınızın ise
perşembe	43	evet	per-şem-BE	varsayılan_son			ama konu takibimde . Perşembe günü saat ikiye
me	48		ME	varsayılan_son			harf harf söylüyorum , me ve ze on
kırk	140		KIRK	varsayılan_son			kırk beş arasında baz
harika	20		ha-ri-KA	varsayılan_son			Harika , onayınızı aldım
uygun	61		uy-GUN	varsayılan_son			tek çekim alacağım , uygun mu ? Teslimat
dilerim	26		di-le-RİM	varsayılan_son			beş . İyi günler dilerim , hattınızı bizimle
günler	44		gün-LER	varsayılan_son			on beş . İyi günler dilerim , hattınızı
ister	24		is-TER	varsayılan_son			tuşun nerede olduğunu öğrenmek ister . Hepsinin ortak
onaylıyor	46		o-nay-lı-YOR	varsayılan_son			dörtte olarak görünüyor ; onaylıyor musunuz ? Toplam
görünüyor	128		gö-rü-nü-YOR	varsayılan_son			yüzde yetmiş dokuzu kullanılmış görünüyor . Kalan miktarı
hemen	63		he-MEN	varsayılan_son			çıkmış . Merhaba , hemen bakıyorum ; sipariş
bunu	42		bu-NU	varsayılan_son			sorun bizde olur ; bunu kabul etmek gerekir
ilk	65		İLK	varsayılan_son			Taşıma kampanyasında ilk fatura yüzde elli
sadece	32		sa-de-CE	varsayılan_son			on altı . Tire sadece okumayı kolaylaştırmak için
geliyor	21		ge-li-YOR	varsayılan_son			dokuz lira seksen kuruşya geliyor , yüzde on
yeni	42		ye-Nİ	varsayılan_son			ücretlendirme için önemli . Yeni telefonunuza eSIM aktarımı
teşekkür	58		te-şek-KÜR	varsayılan_son			ilerliyoruz ; sabrınız için teşekkür ederim demek ,
demek	28		de-MEK	varsayılan_son			ama unutmadığımı bilmenizi istedim demek , boş bir
adım	43		a-DIM	varsayılan_son			Şimdi birlikte adım adım bakalım ,
otuz	86		o-TUZ	varsayılan_son			bir gigabayt internet ve otuz dakika içeriyor .
pazartesi	22	evet	pa-zar-te-Sİ	varsayılan_son			da gözden geçireceğim ; pazartesi gününden bu yana
sokak	39	evet	so-KAK	varsayılan_son			bin yüz elli dört Sokak No , otuz
şunu	25		şu-NU	varsayılan_son			gerçekten . Bir de şunu unutma , yavaş
ise	40		i-SE	varsayılan_son			. beş günlük paket ise yedi yüz doksan
re	66		RE	varsayılan_son			kaydınızın numarası ce ge re doksan bin üç
şeyi	22		şe-Yİ	varsayılan_son			ikinci kez aradığında her şeyi yeniden anlatmam gerekmiyor
gününden	20		gü-nün-DEN	varsayılan_son			gözden geçireceğim ; pazartesi gününden bu yana başka
devam	40		de-VAM	varsayılan_son			yoksa birkaç gündür mü devam ediyor ? Bir
içinde	25		i-çin-DE	varsayılan_son			ila beş iş günü içinde geçiş bildirimi gidiyor
teslimat	52		tes-li-MAT	varsayılan_son			Teslimat adresi , Bahar
tam	24		TAM	varsayılan_son			Geçen gün bir hanımefendi tam kapanışta Aslında bir
çünkü	41		çün-KÜ	varsayılan_son			en değerli başarısıdır ; çünkü o an ,
dün	22		DÜN	varsayılan_son			, Daire dört çevresinde dün on beş yirmi
beşte	24		beş-TE	varsayılan_son			saat on sekiz sıfır beşte kırk yedi virgül
bak	22		BAK	varsayılan_son			çekerim , sen rahatına bak . Yarın görüşürüz
fatura	20	evet	fa-tu-RA	varsayılan_son			Taşıma kampanyasında ilk fatura yüzde elli indirimli
elbette	28	evet	el-bet-TE	varsayılan_son			Çözemediğim konular da olur elbette .
dilerseniz	20		di-ler-se-NİZ	varsayılan_son			Dilerseniz otomatik ödeme talimatı
beş	233		BEŞ	varsayılan_son			Mevcut paketiniz ayda yirmi beş gigabayt internet ,
vi	39		Vİ	varsayılan_son			olur mu ? Belgeyi vi vi vi nokta
merhaba	35	evet	mer-ha-BA	varsayılan_son			kutusundan çatlak çıkmış . Merhaba , hemen bakıyorum
yeterli	72		ye-ter-Lİ	varsayılan_son			isterseniz paketi değiştir demeniz yeterli ; işlem bir
altmış	46		al-TMIŞ	varsayılan_son			elli dokuz lira , altmış gigabaytlık paket beş
yirmi	155		yir-Mİ	varsayılan_son			Mevcut paketiniz ayda yirmi beş gigabayt internet
lira	141		li-RA	varsayılan_son			üç yüz seksen dokuz lira elli kuruş .
gerek	34		ge-REK	varsayılan_son			yolundaysa yanıt vermenize bile gerek kalmayacak . Elbette
edeceğim	30		e-de-ce-ĞİM	varsayılan_son			, birkaç saniye rica edeceğim . Bekleyen kişi
gün	112		GÜN	varsayılan_son			; bu yazımda sıra gün ay yıl şeklindedir
şimdi	104		ŞİM-di	kök			Şimdi bilgilerinizi tek tek
yüz	212		YÜZ	varsayılan_son			bin dakika ve beş yüz es em es
hızınız	14		hı-zı-NIZ	varsayılan_son			İndirme hızınız saniyede kırk sekiz
sorayım	3		so-ra-YIM	varsayılan_son			Bir de şunu sorayım , yanınızda biri
işaretli	2		i-şa-ret-Lİ	varsayılan_son			kutusu var , büyüteç işaretli . Oraya dokun
otuzda	4		o-tuz-DA	varsayılan_son			var . Kesinti dokuz otuzda başlayacak ve en
düşüyor	3		dü-şü-YOR	varsayılan_son			oturmazsanız yer yeniden boşa düşüyor . Grup çalışması
taze	5		ta-ZE	varsayılan_son			. Yolda fırına uğrayıp taze simit de alırım
yanı	3		ya-NI	varsayılan_son			. Ek hizmetlerden koltuk yanı ikram paketini seksen
bakmayın	4		bak-ma-YIN	varsayılan_son			daha olacak , kusura bakmayın , art arda
çocuklar	7		ço-cuk-LAR	varsayılan_son			üzerine sohbet ediliyor . Çocuklar için hafta sonları
sürahi	4		sü-ra-Hİ	varsayılan_son			o meşhur limonatamdan bir sürahi .
altına	2		al-tı-NA	varsayılan_son			kalite standartları gereği kayıt altına alındı ; kayıt
dokunun	7		do-ku-NUN	varsayılan_son			üst köşesindeki dişli simgesine dokunun . Açılan menüde
ederiz	8		e-de-RİZ	varsayılan_son			yerde durur , tekrar ederiz . Hazır mısın
alanı	3		a-la-NI	varsayılan_son			salonu ve sessiz çalışma alanı yer alıyor .
ayrıntıları	3		ay-rın-tı-la-RI	varsayılan_son			sorular ve yeni kampanyanın ayrıntıları konuşulur . Hangi
karışmayayım	2		ka-rış-ma-ya-YIM	varsayılan_son			bu sefer ben hiç karışmayayım . Sen anlat
birinci	5		bi-rin-Cİ	varsayılan_son			Birinci kat , roman
geçerlilik	3		ge-çer-li-LİK	varsayılan_son			demeniz yeterli . Kodun geçerlilik süresi üç dakika
kartınız	7		kar-tı-NIZ	varsayılan_son			geldiğinizde numarayı söylüyorsunuz ve kartınız birkaç dakika içinde
sonrasında	4		son-ra-sın-DA	varsayılan_son			otuz dakika ücretsiz , sonrasında saat başı kırk
acaba	4		a-ca-BA	varsayılan_son			geçenleri tahmin edebiliyorum . Acaba bir şey mi
tonları	3		ton-la-RI	varsayılan_son			. Onay kelimelerinin de tonları vardır , Elbette
kolaylık	3		ko-lay-LIK	varsayılan_son			başlamak , ikimize de kolaylık sağlar . Örneğin
adresinizi	3		ad-re-si-ni-Zİ	varsayılan_son			? İsterseniz e posta adresinizi de alayım .
hatırlanır	2		ha-tır-la-NIR	varsayılan_son			Küçük dokunuşlar uzun süre hatırlanır .
uygulayacağım	6		uy-gu-la-ya-ca-ĞIM	varsayılan_son			yapacağım , sonra çözümü uygulayacağım . İlk adım
günün	13		gü-NÜN	varsayılan_son			. Akşam kulaklığı çıkarırken günün seslerini şöyle bir
süreci	6		sü-re-Cİ	varsayılan_son			Şimdi size bir süreci baştan sona ,
köşede	3		kö-şe-DE	varsayılan_son			ile Üzümcü Sokakın kesiştiği köşede yer alıyor .
ilgileneceğiz	12		il-gi-le-ne-ce-ĞİZ	varsayılan_son			, sırayla ve özenle ilgileneceğiz . Bunu sadece
işinizi	4		i-şi-ni-Zİ	varsayılan_son			, Çok naziksiniz , işinizi kolaylaştırabildiysem ne mutlu
yaparız	3		ya-pa-RIZ	varsayılan_son			. Bugün bir kez yaparız , yarın bir
sürede	3		sü-re-DE	varsayılan_son			Belirsiz bir en kısa sürede yerine net bir
konusunda	6		ko-nu-sun-DA	varsayılan_son			çe kaydedildi . Ulaşım konusunda da bilgi vereyim
yağmur	9		yağ-MUR	varsayılan_son			çok mahcubum . Üstelik yağmur da yağıyordu dün
kapattık	7		ka-pat-TIK	varsayılan_son			yenileme tarihi kaynaklı kaydınızı kapattık , salı öğlen
sizin	18	evet	si-ZİN	varsayılan_son			indirim farklı şeylerdir ; sizin kampanyanız yüzde elliliktir
düşünmek	3		dü-şün-MEK	varsayılan_son			Düşünmek istediğinizi not ettim
örnek	7		ör-NEK	varsayılan_son			iki . İsterseniz size örnek bir hesap çıkarayım
olan	12		o-LAN	varsayılan_son			ettin mi ? İhtiyacın olan neyse ona göre
istiyorsunuz	8		is-ti-yor-su-NUZ	varsayılan_son			dört kişilik bir masa istiyorsunuz .
civarında	5		ci-va-rın-DA	varsayılan_son			tutar o sabah dokuz civarında kartınızdan çekilecek .
beklemeye	2		bek-le-me-YE	varsayılan_son			beklediğini bilirse sıkılmaz . Beklemeye alma da bir
ikisi	9		i-ki-Sİ	varsayılan_son			bu ayın yüzde doksan ikisi kullanılmış görünüyor .
ödemeyi	6		ö-de-me-Yİ	varsayılan_son			bir bağlantı göndereceğim , ödemeyi oradan tamamlayabilirsiniz .
rakam	5		ra-KAM	varsayılan_son			olan te , sonra rakam olan yedi geliyor
çekinme	2		çe-kin-ME	varsayılan_son			kere gerekiyorsa . Hiç çekinme , sormak ayıp
gelince	14		ge-lin-CE	varsayılan_son			İnternet hızıyla ilgili bildiriminize gelince , adresinizde ,
işimin	12		i-şi-MİN	varsayılan_son			kapanırken söylediğim cümle aslında işimin özeti , Yardımcı
bekletmek	2		bek-let-MEK	varsayılan_son			sizinle ilgileniyorum . Habersiz bekletmek , kapıda unutulmak
işimiz	10		i-şi-MİZ	varsayılan_son			kendi elindedir ; bizim işimiz yol göstermek .
kalırsanız	3		ka-lır-sa-NIZ	varsayılan_son			, bu hizmetten memnun kalırsanız bizi bir yakınınıza
neyse	8		ney-SE	varsayılan_son			mi ? İhtiyacın olan neyse ona göre davranmaya
sistemlerimizde	16	evet	sis-tem-le-ri-miz-DE	varsayılan_son			ekleyeceğim , salı günü sistemlerimizde kısa bir bakım
mısın	2		mı-SIN	varsayılan_son			tekrar ederiz . Hazır mısın ?
pazartesiye	3	evet	pa-zar-te-si-YE	varsayılan_son			olarak on altı Nisan Pazartesiye kayacak ; gecikme
dikkatli	3		dik-kat-Lİ	varsayılan_son			yine de kendime karşı dikkatli olacağım , güven
konuşalım	4		ko-nu-şa-LIM	varsayılan_son			tuttum seni , akşam konuşalım mı yine ?
dersin	3		der-SİN	varsayılan_son			fırınla aramız bozuk bugün dersin . Bir de
açıklayacağım	3		a-çık-la-ya-ca-ĞIM	varsayılan_son			her adımı tek tek açıklayacağım ki aklınızda soru
işleminiz	14		iş-le-mi-NİZ	varsayılan_son			O saatlerde acil bir işleminiz olursa , bakım
bazen	17		ba-ZEN	varsayılan_son			işini yapmış demektir . Bazen sorun bizde olur
hâlâ	11		hâ-LÂ	varsayılan_son			daha zaman gerekiyor , hâlâ sizinle ilgileniyorum .
çayın	3		ça-YIN	varsayılan_son			gideceğim , sen geldiğinde çayın demlenmiş olacak .
standart	9		stan-DART	varsayılan_son			Standart kapanışım üç adımdan
depoya	3		de-po-YA	varsayılan_son			hale gelir . Ürün depoya ulaştığında kontrol ekibi
hanesini	3		ha-ne-si-Nİ	varsayılan_son			telefon numaranızın son iki hanesini soracağım . Sistemde
yazacak	12		ya-za-CAK	varsayılan_son			ve planlanan gün açıkça yazacak .
kalmış	13		kal-MIŞ	varsayılan_son			Elbette doldurmak tamamen size kalmış , hiçbir zorunluluk
asla	5		as-LA	varsayılan_son			paylaşmayın ; biz aramalarda asla sormayız . İnternet
beklemeyesiniz	12		bek-le-me-ye-si-NİZ	varsayılan_son			ilgileneceğiz . Bunu sadece beklemeyesiniz diye söylüyorum .
konuşma	17		ko-nuş-MA	varsayılan_son			üç sorunun cevabı netse konuşma amacına ulaşmış demektir
hale	3		ha-LE	varsayılan_son			ve süreç artık görünür hale gelir . Ürün
çay	18		ÇAY	varsayılan_son			. Dinlerken bir fincan çay içiyormuşuz gibi rahat
hangisi	9		HAN-gi-si	kök+ek			, e posta ; hangisi olursa olsun çekinmeden
insan	9		in-SAN	varsayılan_son			doğru söylüyorsun , bazen insan sadece dinlenilmek istiyor
ihtimal	3		ih-ti-MAL	varsayılan_son			yağar mı dersen , ihtimal var gibi ama
durumu	11		du-ru-MU	varsayılan_son			uzarsa geri döner , durumu bildiririm , Biraz
servis	4		ser-VİS	varsayılan_son			ağır ağır pişiyor ve servis süresi yaklaşık kırk
sorunla	8		so-run-LA	varsayılan_son			bir hikayedir , bir sorunla başlar , bir
gönderildi	3		gön-de-ril-Dİ	varsayılan_son			es gönderirseniz sevinirim . Gönderildi .
ödemesi	2		ö-de-me-Sİ	varsayılan_son			dokuz lira tutarında elektronik ödemesi , dokuz Martta
hatırlatma	15		ha-tır-lat-MA	varsayılan_son			Rezervasyondan bir gün önce hatırlatma mesajı alacaksınız ;
çalışması	18		ça-lış-ma-SI	varsayılan_son			sistemlerimizde kısa bir bakım çalışması olacak . Bu
hafifçe	4		ha-fif-ÇE	varsayılan_son			bence doğru . Dudaklar hafifçe gülümseyince ses de
yakın	5		ya-KIN	varsayılan_son			yardımcı oluyor . Çıkışa yakın küçük bir hediyelik
nedeniyle	3		ne-de-niy-LE	varsayılan_son			salonumuz ise canlı müzik nedeniyle biraz gürültülü olabilir
menekşe	12	evet	me-nek-ŞE	varsayılan_son			, Bahar Mahallesi , Menekşe Sokak , numara
söyle	7		söy-LE	varsayılan_son			Harfleri bulmak zor olursa söyle , klavyeyi büyütebiliriz
görüşürüz	14		gö-rü-şü-RÜZ	varsayılan_son			rahatına bak . Yarın görüşürüz , telefonu da
söyler	8		söy-LER	varsayılan_son			asıl konusunu en sonda söyler .
cevabı	14		ce-va-BI	varsayılan_son			. Bu üç sorunun cevabı netse konuşma amacına
öğlene	3		öğ-le-NE	varsayılan_son			; cumartesi ise yalnızca öğlene kadar hizmet veriyor
alma	6		al-MA	varsayılan_son			bilirse sıkılmaz . Beklemeye alma da bir nezaket
ye	6		YE	varsayılan_son			kez daha soruyorum , ye , ı ,
şaka	5		şa-KA	varsayılan_son			koyayım mı arkaya ? Şaka şaka , o
dinlerken	9		din-ler-KEN	varsayılan_son			etmeden anlatmak istiyorum . Dinlerken bir fincan çay
parlak	4		par-LAK	varsayılan_son			veriyorum , fırından çıkan parlak yüzeyi ilk kez
böyledir	4		böy-le-DİR	varsayılan_son			da hayatta da bu böyledir . Umarım anlattıklarım
şimdiden	17		ŞİM-di-den	kök+ek			fıstık alerjisi gibi durumları şimdiden bildirirseniz şefimiz Müştak
yemlerken	1		yem-ler-KEN	varsayılan_son			bakıyorlar sanki . Sen yemlerken pencere kenarında mı
binlik	1		bin-LİK	varsayılan_son			sıfır dakika ifadesindeki nokta binlik ayraçtır ; bin
parçalı	1		par-ça-LI	varsayılan_son			? Ödemlide öğleden sonra parçalı bulutlu , sıcaklık
aldığım	1		al-dı-ĞIM	varsayılan_son			Bir de senden ödünç aldığım termosu hâlâ getirmedim
özetine	1		ö-ze-ti-NE	varsayılan_son			kalıcı yaptım . Güvenlik özetine geçiyorum . Gece
beşinci	1		be-şin-Cİ	varsayılan_son			çıkış sırası olan on beşinci sıra ise iki
demirli	1	evet	de-mir-Lİ	varsayılan_son			. Fatura dijital olarak Demirli adına kesilecek .
haznesini	1		haz-ne-si-Nİ	varsayılan_son			Su haznesini makinenin arkasından hafifçe
misafirinizde	1		mi-sa-fi-ri-niz-DE	varsayılan_son			var mı ? Bir misafirinizde gluten hassasiyeti varmış
sonuçta	1		so-nuç-TA	varsayılan_son			bunlar bahane sayılmaz , sonuçta seni bekletmiş oldum
ahşap	2		ah-ŞAP	varsayılan_son			okul sınıfı düzenlenmiş ; ahşap sıralara oturup taş
gülüyorsun	1		gü-lü-yor-SUN	varsayılan_son			fırının bileceği iş . Gülüyorsun bak , işte
kâsede	1		kâ-se-DE	varsayılan_son			meyve , bir cam kâsede katar katar dizersin
teneke	1		te-ne-KE	varsayılan_son			yeniden canlandırılmış . Raflardaki teneke kutular , camekândaki
araştırabilirim	1		a-raş-tı-ra-bi-li-RİM	varsayılan_son			tatillerde . İkisini de araştırabilirim senin için ,
rafınızdaki	1		ra-fı-nız-da-Kİ	varsayılan_son			bir tekrar yapıyor ve rafınızdaki işiniz sizi bekliyor
aktarıyorum	1		ak-ta-rı-yo-RUM	varsayılan_son			giriyor . Kaydınızı onlara aktarıyorum ve takip numaranızı
konuşuyormuşsun	1		ko-nu-şu-yor-muş-SUN	varsayılan_son			öyle , bir de konuşuyormuşsun onlarla .
girdiğimde	1		gir-di-ğim-DE	varsayılan_son			söz aldınız , araya girdiğimde de anlayış gösterdiniz
ödendi	1		ö-den-Dİ	varsayılan_son			siparişi verildi , kapora ödendi .
geçerim	2		ge-çe-RİM	varsayılan_son			, teşekkürler ise vedaya geçerim , Ben teşekkür
ileteceğiz	1		i-le-te-ce-ĞİZ	varsayılan_son			faturayı teslimattan hemen sonra ileteceğiz . Kurye kapıya
ulaşımdan	1		u-la-şım-DAN	varsayılan_son			Nereden devam edeceksin , ulaşımdan mı ? Anladım
yerleştirdik	1		yer-leş-tir-DİK	varsayılan_son			Makineyi düz bir zemine yerleştirdik , hazneyi yıkayıp
elle	1		el-LE	varsayılan_son			alırsanız , iletideki kodu elle yazdırmayı deneyin ;
seviyorum	1		se-vi-yo-RUM	varsayılan_son			çınar ağacının altını çok seviyorum çünkü .
biçiminde	1		bi-çi-min-DE	varsayılan_son			iki bin yirmi beş biçiminde yazıldığında gün ay
civarda	1		ci-var-DA	varsayılan_son			? Aşağı yukarı o civarda işte . En
grubunuzu	1		gru-bu-nu-ZU	varsayılan_son			işiniz sizi bekliyor . Grubunuzu değiştirmek isterseniz boş
ısı	1		ı-SI	varsayılan_son			bazen huysuzluk yapar , ısı ayarı bir tuhaf
onayını	1		o-na-yı-NI	varsayılan_son			en sonunda karşı tarafın onayını alırım . Adresinizi
yayımladı	2		ya-yım-la-DI	varsayılan_son			yer yer dolu uyarısı yayımladı ; şemsiyenizi yanınıza
asistanına	1		a-sis-ta-nı-NA	varsayılan_son			, Gökyolu Seyahatin sesli asistanına hoş geldiniz .
kilovat	2		ki-lo-VAT	varsayılan_son			yirmi beş yılı için kilovat başına yüz seksen
ziyareti	1		zi-ya-re-Tİ	varsayılan_son			Yalı Kent Müzesine yapacağınız ziyareti adım adım anlatmak
olası	2		o-la-SI	varsayılan_son			arasında nasıl eşitlendiğine ve olası aksaklıklarda neler yapabileceğinize
küçükmüş	1		kü-çük-MÜŞ	varsayılan_son			? Dünya ne kadar küçükmüş . Evet ,
bölümlerini	1		bö-lüm-le-ri-Nİ	varsayılan_son			rica ediliyor . Kütüphanenin bölümlerini de kısaca tanıtayım
heyecanlanma	1		he-ye-can-lan-MA	varsayılan_son			Evet , çalıyor . Heyecanlanma , düz konuş
çayınızı	1		ça-yı-nı-ZI	varsayılan_son			açılıyor ; erken gelirseniz çayınızı alıp yerleşebilirsiniz .
yap	1		YAP	varsayılan_son			önce şarjını yüzde yüz yap , olur mu
ilettim	1		i-let-TİM	varsayılan_son			mesajla hem e postayla ilettim .
damlası	1		dam-la-SI	varsayılan_son			. Muayene öncesinde göz damlası uygulanabileceği için yanınızda
neler	1		ne-LER	varsayılan_son			eşitlendiğine ve olası aksaklıklarda neler yapabileceğinize de değineceğim
mesafe	1		me-sa-FE	varsayılan_son			Otele mesafe yirmi sekiz kilometre
değiştirsinler	1		de-ğiş-tir-sin-LER	varsayılan_son			Yarın yönetime söyleyeceğim , değiştirsinler . Gördün mü
yazıyoruz	1		ya-zı-yo-RUZ	varsayılan_son			için mesajda büyük harfle yazıyoruz .
vezneye	1		vez-ne-YE	varsayılan_son			; kâğıt nüsha isterseniz vezneye söylemeniz yeterli .
yandaki	1		yan-da-Kİ	varsayılan_son			bankaya , be girişi yandaki eczaneye ait .
izleyerek	1		iz-le-ye-REK	varsayılan_son			hazırlarız , pencereden yağmuru izleyerek yeriz . Çocuklar
